,Instance,n_N,n_B,k,wL,Lazy,A4,Gap,Runtime,NodeCount,ObjVal,Runtime_h,ObjVal_h
0,0,10,21,1,50,False,True,3.2322455192202633e-07,21.551059246063232,438.0,891.5850828682986,,
1,0,10,21,1,50,True,True,0.0,14.166790246963501,1815.0,891.5835581616224,,
2,0,10,21,1,100,False,True,5.162958259082238e-05,25.471896648406982,441.0,1391.5849617994718,,
3,0,10,21,1,100,True,True,0.0,13.688754796981812,1729.0,1391.5835615533376,,
4,0,10,21,1,50,False,True,3.2322455192202633e-07,21.393254280090332,438.0,891.5850828682986,,
5,0,10,21,1,50,True,True,0.0,14.2071053981781,1815.0,891.5835581616224,,
6,0,10,21,1,100,False,True,5.162958259082238e-05,25.02189540863037,441.0,1391.5849617994718,,
7,0,10,21,1,100,True,True,0.0,13.502790927886963,1729.0,1391.5835615533376,,
8,0,10,21,2,50,False,True,1.1289219875061777e-07,40.40442180633545,902.0,781.5308071912692,,
9,0,10,21,2,50,True,True,0.0,144.64994525909424,10525.0,781.2245985344053,,
10,0,10,21,2,100,False,True,4.359552135153121e-07,20.946744918823242,1271.0,1281.530987862731,,
11,0,10,21,2,100,True,True,0.0,37.95597696304321,2191.0,1281.2245966185574,,
12,0,15,28,1,50,False,True,3.785589086398624e-07,56.626392126083374,675.0,1609.5930514219663,,
13,0,15,28,1,50,True,True,0.0,190.6567370891571,5366.0,1680.0725039203191,,
14,0,15,28,1,100,False,True,0.0,35.14473366737366,574.0,2409.592714628411,,
15,0,15,28,1,100,True,True,,,,,,
16,0,15,28,1,50,False,True,3.785589086398624e-07,56.519558906555176,675.0,1609.5930514219663,,
17,0,15,28,1,50,True,True,0.0,189.55930972099304,5366.0,1680.0725039203191,,
18,0,15,28,1,100,False,True,0.0,35.093345642089844,574.0,2409.592714628411,,
19,0,15,28,1,100,True,True,,,,,,
20,0,15,28,3,50,False,True,6.306400624630831e-08,127.29064321517944,6614.0,1119.1830586746828,,
21,0,15,28,3,50,True,True,8.697813145000415e-05,286.951655626297,8926.0,1118.686612792857,,
22,0,15,28,3,100,False,True,0.0,109.95097661018372,5844.0,1869.1829832959643,,
23,0,15,28,3,100,True,True,0.0,212.55088019371033,8957.0,1868.5893115970864,,
24,0,20,35,1,50,False,True,5.304572294693874e-06,110.47926330566406,7288.0,2390.4471037886606,,
25,0,20,35,1,50,True,True,0.0,1030.696172952652,60632.0,2388.43498225443,,
26,0,20,35,1,100,False,True,8.563532434742685e-05,89.53938722610474,2922.0,3758.271681948354,,
27,0,20,35,1,100,True,True,0.0,419.927627325058,7824.0,4023.1278717253144,,
28,0,20,35,2,50,False,True,8.870604329469046e-08,381.65872144699097,3039.0,1766.8615433062191,,
29,0,20,35,2,50,True,True,0.0,716.6806526184082,14670.0,2220.946446962086,,
30,0,20,35,2,100,False,True,5.705890758066344e-08,232.92921566963196,10399.0,2909.947508628473,,
31,0,20,35,2,100,True,True,6.842289835685652e-05,1923.2806134223938,66328.0,2903.420790284682,,
32,0,20,35,5,50,False,True,4.01832121030344e-08,146.9030385017395,7640.0,1369.0493504992191,,
33,0,20,35,5,50,True,True,1.612149985319426e-10,1913.9447479248047,55110.0,1368.34202650375,,
34,0,20,35,5,100,False,True,2.862610934366631e-08,166.44873881340027,8326.0,2369.0493648964803,,
35,0,20,35,5,100,True,True,7.088479600656454e-05,701.7529699802399,24755.0,2368.2606781231398,,
36,1,10,21,1,50,False,True,0.0,23.286134958267212,2358.0,985.265636202312,,
37,1,10,21,1,50,True,True,3.4819283094858495e-05,69.0653223991394,3665.0,979.8583509447983,,
38,1,10,21,1,100,False,True,0.0,18.215917348861694,542.0,1560.2656158406016,,
39,1,10,21,1,100,True,True,0.0,71.19028520584106,3662.0,1529.8242321044077,,
40,1,10,21,1,50,False,True,0.0,22.956432342529297,2358.0,985.265636202312,,
41,1,10,21,1,50,True,True,3.4819283094858495e-05,69.00108981132507,3665.0,979.8583509447983,,
42,1,10,21,1,100,False,True,0.0,18.281649827957153,542.0,1560.2656158406016,,
43,1,10,21,1,100,True,True,0.0,71.72111368179321,3662.0,1529.8242321044077,,
44,1,10,21,2,50,False,True,7.21681812939921e-08,52.37788367271423,1049.0,811.0425235729977,,
45,1,10,21,2,50,True,True,0.0,121.0140905380249,10881.0,807.501688549367,,
46,1,10,21,2,100,False,True,9.842409139058057e-07,17.413477420806885,750.0,1313.2447078810596,,
47,1,10,21,2,100,True,True,6.319758896454423e-05,73.48243188858032,6089.0,1307.5843204025236,,
48,1,15,35,1,50,False,True,1.9636643173177522e-07,95.87465405464172,2172.0,1559.6714954443105,,
49,1,15,35,1,50,True,True,0.0,370.50284075737,10064.0,1552.6332074231818,,
50,1,15,35,1,100,False,True,0.0,87.18951511383057,5865.0,2371.2039683256753,,
51,1,15,35,1,100,True,True,2.2354665921346312e-09,330.7551941871643,11868.0,2362.6710505990714,,
52,1,15,35,1,50,False,True,1.9636643173177522e-07,96.3719732761383,2172.0,1559.6714954443105,,
53,1,15,35,1,50,True,True,0.0,372.7134439945221,10064.0,1552.6332074231818,,
54,1,15,35,1,100,False,True,0.0,87.25631213188171,5865.0,2371.2039683256753,,
55,1,15,35,1,100,True,True,2.2354665921346312e-09,331.0438210964203,11868.0,2362.6710505990714,,
56,1,15,35,3,50,False,True,4.870084238557435e-05,363.015234708786,4699.0,1171.8496285600934,,
57,1,15,35,3,50,True,True,1.6737726985133058e-07,1084.5459735393524,29929.0,1171.4384306320362,,
58,1,15,35,3,100,False,True,3.079019520976459e-05,109.93081951141357,2790.0,1921.852943726832,,
59,1,15,35,3,100,True,True,0.0,1073.7218165397644,29558.0,1921.438413923122,,
60,1,20,35,1,50,False,True,0.0,120.29878520965576,6473.0,1960.748259066479,,
61,1,20,35,1,50,True,True,0.0,507.7309527397156,25671.0,1955.6834665816523,,
62,1,20,35,1,100,False,True,5.851464394270406e-09,106.28274607658386,8136.0,3110.748277300958,,
63,1,20,35,1,100,True,True,7.322268980766331e-05,390.59948539733887,21996.0,3105.9108815637956,,
64,1,20,35,2,50,False,True,7.51525335847978e-08,504.2759528160095,5545.0,1675.1510770041768,,
65,1,20,35,2,50,True,True,4.1107562534463263e-05,1113.244328737259,43982.0,1674.9876903658144,,
66,1,20,35,2,100,False,True,1.0222101261812567e-05,394.11948251724243,7335.0,2729.8560534137814,,
67,1,20,35,2,100,True,True,0.0,772.4682991504669,29201.0,2728.858483834387,,
68,1,20,35,5,50,False,True,1.9246605777781607e-05,176.591224193573,6026.0,1321.1029804672164,,
69,1,20,35,5,50,True,True,3.904145765403635e-05,879.1328363418579,41267.0,1320.8190443756175,,
70,1,20,35,5,100,False,True,1.0011996545290577e-06,196.82801699638367,5401.0,2321.0798222465382,,
71,1,20,35,5,100,True,True,1.6321539172893e-05,355.0686926841736,15321.0,2320.8455474013485,,
72,2,10,15,1,50,False,True,9.361777995982266e-05,10.938154220581055,430.0,1019.3836529244682,,
73,2,10,15,1,50,True,True,2.059509002031751e-05,28.40201449394226,1154.0,1018.1492657460249,,
74,2,10,15,1,100,False,True,9.34673686084176e-05,9.681955099105835,1.0,1519.3235993770095,,
75,2,10,15,1,100,True,True,4.081443962235622e-08,10.033629417419434,1269.0,1518.1491826673014,,
76,2,10,15,1,50,False,True,9.361777995982266e-05,10.902065515518188,430.0,1019.3836529244682,,
77,2,10,15,1,50,True,True,2.059509002031751e-05,28.484577894210815,1154.0,1018.1492657460249,,
78,2,10,15,1,100,False,True,9.34673686084176e-05,9.818663597106934,1.0,1519.3235993770095,,
79,2,10,15,1,100,True,True,4.081443962235622e-08,10.038806676864624,1269.0,1518.1491826673014,,
80,2,10,15,2,50,False,True,1.7014184709111535e-07,30.402738571166992,1278.0,834.9238357396309,,
81,2,10,15,2,50,True,True,0.0,48.39962816238403,2923.0,834.923760684436,,
82,2,10,15,2,100,False,True,5.36487599523859e-05,13.628084182739258,1175.0,1334.962731849752,,
