,instance,n_N,perc_B,k,single,wL,lazy,A4,init
0,0,10,10.0%,1,True,0,False,False,False
1,0,10,10.0%,1,True,0,False,False,True
2,0,10,20.0%,1,True,0,False,False,False
3,0,10,20.0%,1,True,0,False,False,True
4,0,10,50.0%,1,True,0,False,False,False
5,0,10,50.0%,1,True,0,False,False,True
6,0,10,100%,1,True,0,False,True,False
7,0,10,100%,1,True,0,False,True,True
8,0,10,10.0%,1,True,50,False,False,False
9,0,10,10.0%,1,True,50,False,False,True
10,0,10,20.0%,1,True,50,False,False,False
11,0,10,20.0%,1,True,50,False,False,True
12,0,10,50.0%,1,True,50,False,False,False
13,0,10,50.0%,1,True,50,False,False,True
14,0,10,100%,1,True,50,False,True,False
15,0,10,100%,1,True,50,False,True,True
16,0,10,10.0%,10%,True,0,False,False,False
17,0,10,10.0%,10%,True,0,False,False,True
18,0,10,20.0%,10%,True,0,False,False,False
19,0,10,20.0%,10%,True,0,False,False,True
20,0,10,50.0%,10%,True,0,False,False,False
21,0,10,50.0%,10%,True,0,False,False,True
22,0,10,100%,10%,True,0,False,True,False
23,0,10,100%,10%,True,0,False,True,True
24,0,10,10.0%,10%,True,50,False,False,False
25,0,10,10.0%,10%,True,50,False,False,True
26,0,10,20.0%,10%,True,50,False,False,False
27,0,10,20.0%,10%,True,50,False,False,True
28,0,10,50.0%,10%,True,50,False,False,False
29,0,10,50.0%,10%,True,50,False,False,True
30,0,10,100%,10%,True,50,False,True,False
31,0,10,100%,10%,True,50,False,True,True
32,0,10,10.0%,25%,True,0,False,False,False
33,0,10,10.0%,25%,True,0,False,False,True
34,0,10,20.0%,25%,True,0,False,False,False
35,0,10,20.0%,25%,True,0,False,False,True
36,0,10,50.0%,25%,True,0,False,False,False
37,0,10,50.0%,25%,True,0,False,False,True
38,0,10,100%,25%,True,0,False,True,False
39,0,10,100%,25%,True,0,False,True,True
40,0,10,10.0%,25%,True,50,False,False,False
41,0,10,10.0%,25%,True,50,False,False,True
42,0,10,20.0%,25%,True,50,False,False,False
43,0,10,20.0%,25%,True,50,False,False,True
44,0,10,50.0%,25%,True,50,False,False,False
45,0,10,50.0%,25%,True,50,False,False,True
46,0,10,100%,25%,True,50,False,True,False
47,0,10,100%,25%,True,50,False,True,True
48,0,10,10.0%,1,False,0,False,False,False
49,0,10,10.0%,1,False,0,False,False,True
50,0,10,20.0%,1,False,0,False,False,False
51,0,10,20.0%,1,False,0,False,False,True
52,0,10,50.0%,1,False,0,False,False,False
53,0,10,50.0%,1,False,0,False,False,True
54,0,10,100%,1,False,0,False,True,False
55,0,10,100%,1,False,0,False,True,True
56,0,10,10.0%,1,False,50,False,False,False
57,0,10,10.0%,1,False,50,False,False,True
58,0,10,20.0%,1,False,50,False,False,False
59,0,10,20.0%,1,False,50,False,False,True
60,0,10,50.0%,1,False,50,False,False,False
61,0,10,50.0%,1,False,50,False,False,True
62,0,10,100%,1,False,50,False,True,False
63,0,10,100%,1,False,50,False,True,True
64,0,10,10.0%,10%,False,0,False,False,False
65,0,10,10.0%,10%,False,0,False,False,True
66,0,10,20.0%,10%,False,0,False,False,False
67,0,10,20.0%,10%,False,0,False,False,True
68,0,10,50.0%,10%,False,0,False,False,False
69,0,10,50.0%,10%,False,0,False,False,True
70,0,10,100%,10%,False,0,False,True,False
71,0,10,100%,10%,False,0,False,True,True
72,0,10,10.0%,10%,False,50,False,False,False
73,0,10,10.0%,10%,False,50,False,False,True
74,0,10,20.0%,10%,False,50,False,False,False
75,0,10,20.0%,10%,False,50,False,False,True
76,0,10,50.0%,10%,False,50,False,False,False
77,0,10,50.0%,10%,False,50,False,False,True
78,0,10,100%,10%,False,50,False,True,False
79,0,10,100%,10%,False,50,False,True,True
80,0,10,10.0%,25%,False,0,False,False,False
81,0,10,10.0%,25%,False,0,False,False,True
82,0,10,20.0%,25%,False,0,False,False,False
83,0,10,20.0%,25%,False,0,False,False,True
84,0,10,50.0%,25%,False,0,False,False,False
85,0,10,50.0%,25%,False,0,False,False,True
86,0,10,100%,25%,False,0,False,True,False
87,0,10,100%,25%,False,0,False,True,True
88,0,10,10.0%,25%,False,50,False,False,False
89,0,10,10.0%,25%,False,50,False,False,True
90,0,10,20.0%,25%,False,50,False,False,False
91,0,10,20.0%,25%,False,50,False,False,True
92,0,10,50.0%,25%,False,50,False,False,False
93,0,10,50.0%,25%,False,50,False,False,True
94,0,10,100%,25%,False,50,False,True,False
95,0,10,100%,25%,False,50,False,True,True
96,0,20,10.0%,1,True,0,False,False,False
97,0,20,10.0%,1,True,0,False,False,True
98,0,20,20.0%,1,True,0,False,False,False
99,0,20,20.0%,1,True,0,False,False,True
100,0,20,50.0%,1,True,0,False,False,False
101,0,20,50.0%,1,True,0,False,False,True
102,0,20,100%,1,True,0,False,True,False
103,0,20,100%,1,True,0,False,True,True
104,0,20,10.0%,1,True,50,False,False,False
105,0,20,10.0%,1,True,50,False,False,True
106,0,20,20.0%,1,True,50,False,False,False
107,0,20,20.0%,1,True,50,False,False,True
108,0,20,50.0%,1,True,50,False,False,False
109,0,20,50.0%,1,True,50,False,False,True
110,0,20,100%,1,True,50,False,True,False
111,0,20,100%,1,True,50,False,True,True
112,0,20,10.0%,10%,True,0,False,False,False
113,0,20,10.0%,10%,True,0,False,False,True
114,0,20,20.0%,10%,True,0,False,False,False
115,0,20,20.0%,10%,True,0,False,False,True
116,0,20,50.0%,10%,True,0,False,False,False
117,0,20,50.0%,10%,True,0,False,False,True
118,0,20,100%,10%,True,0,False,True,False
119,0,20,100%,10%,True,0,False,True,True
120,0,20,10.0%,10%,True,50,False,False,False
121,0,20,10.0%,10%,True,50,False,False,True
122,0,20,20.0%,10%,True,50,False,False,False
123,0,20,20.0%,10%,True,50,False,False,True
124,0,20,50.0%,10%,True,50,False,False,False
125,0,20,50.0%,10%,True,50,False,False,True
126,0,20,100%,10%,True,50,False,True,False
127,0,20,100%,10%,True,50,False,True,True
128,0,20,10.0%,25%,True,0,False,False,False
129,0,20,10.0%,25%,True,0,False,False,True
130,0,20,20.0%,25%,True,0,False,False,False
131,0,20,20.0%,25%,True,0,False,False,True
132,0,20,50.0%,25%,True,0,False,False,False
133,0,20,50.0%,25%,True,0,False,False,True
134,0,20,100%,25%,True,0,False,True,False
135,0,20,100%,25%,True,0,False,True,True
136,0,20,10.0%,25%,True,50,False,False,False
137,0,20,10.0%,25%,True,50,False,False,True
138,0,20,20.0%,25%,True,50,False,False,False
139,0,20,20.0%,25%,True,50,False,False,True
140,0,20,50.0%,25%,True,50,False,False,False
141,0,20,50.0%,25%,True,50,False,False,True
142,0,20,100%,25%,True,50,False,True,False
143,0,20,100%,25%,True,50,False,True,True
144,0,20,10.0%,1,False,0,False,False,False
145,0,20,10.0%,1,False,0,False,False,True
146,0,20,20.0%,1,False,0,False,False,False
147,0,20,20.0%,1,False,0,False,False,True
148,0,20,50.0%,1,False,0,False,False,False
149,0,20,50.0%,1,False,0,False,False,True
150,0,20,100%,1,False,0,False,True,False
151,0,20,100%,1,False,0,False,True,True
152,0,20,10.0%,1,False,50,False,False,False
153,0,20,10.0%,1,False,50,False,False,True
154,0,20,20.0%,1,False,50,False,False,False
155,0,20,20.0%,1,False,50,False,False,True
156,0,20,50.0%,1,False,50,False,False,False
157,0,20,50.0%,1,False,50,False,False,True
158,0,20,100%,1,False,50,False,True,False
159,0,20,100%,1,False,50,False,True,True
160,0,20,10.0%,10%,False,0,False,False,False
161,0,20,10.0%,10%,False,0,False,False,True
162,0,20,20.0%,10%,False,0,False,False,False
163,0,20,20.0%,10%,False,0,False,False,True
164,0,20,50.0%,10%,False,0,False,False,False
165,0,20,50.0%,10%,False,0,False,False,True
166,0,20,100%,10%,False,0,False,True,False
167,0,20,100%,10%,False,0,False,True,True
168,0,20,10.0%,10%,False,50,False,False,False
169,0,20,10.0%,10%,False,50,False,False,True
170,0,20,20.0%,10%,False,50,False,False,False
171,0,20,20.0%,10%,False,50,False,False,True
172,0,20,50.0%,10%,False,50,False,False,False
173,0,20,50.0%,10%,False,50,False,False,True
174,0,20,100%,10%,False,50,False,True,False
175,0,20,100%,10%,False,50,False,True,True
176,0,20,10.0%,25%,False,0,False,False,False
177,0,20,10.0%,25%,False,0,False,False,True
178,0,20,20.0%,25%,False,0,False,False,False
