,Instance,n_N,n_B,k,wL,Lazy,A4,Gap,Runtime,NodeCount,ObjVal,Runtime_h,ObjVal_h
0,0,25,56,1,50,False,True,0.0,244.319500207901,15016.0,2781.0716539608406,,
1,0,25,56,1,50,True,True,3.0299792095400023e-09,934.8600056171417,15027.0,2778.406663486607,,
2,0,25,56,1,100,False,True,7.673342797900816e-05,214.36855792999268,9702.0,4409.302275015437,,
3,0,25,56,1,100,True,True,7.3445381184219e-05,1451.7779684066772,21938.0,4407.405407618148,,
4,0,25,56,2,50,False,True,2.376283753720969e-06,585.2525305747986,23545.0,2308.843313763008,,
5,0,25,56,2,50,True,True,1.1178002413192046e-10,1505.3890588283539,16179.0,2307.095786482929,,
6,0,25,56,2,100,False,True,5.114706629584607e-06,508.12779998779297,9799.0,3665.449968469601,,
7,0,25,56,2,100,True,True,4.906348714934729e-05,2373.7534487247467,40191.0,3662.4100140727105,,
8,0,25,56,6,50,False,True,1.0356338601475696e-07,650.8997642993927,10214.0,1709.9200323246873,,
9,0,25,56,6,50,True,True,2.928942451620319e-05,1978.44935297966,46186.0,1709.82188727301,,
10,0,25,56,6,100,False,True,9.352120978062329e-08,407.69707107543945,5555.0,2959.9201286043603,,
11,0,25,56,6,100,True,True,2.912909795586897e-08,2362.1914513111115,51452.0,2959.821968597009,,
12,0,30,52,1,50,False,True,7.88567023456852e-05,224.59916734695435,5076.0,3582.7771898584765,,
13,0,30,52,1,50,True,True,0.0,973.7875912189484,7184.0,8324.921897751974,,
14,0,30,52,1,100,False,True,0.0,209.80211997032166,4922.0,5587.477488238121,,
15,0,30,52,1,100,True,True,2.0722462841494852e-05,1457.995374917984,20075.0,5589.3871365547075,,
16,0,30,52,3,50,False,True,2.0913282019236036e-05,1303.3353850841522,24086.0,2502.3468833213074,,
17,0,30,52,3,50,True,True,0.18834362753763478,3642.3094408512115,25264.0,2817.322832385161,,
18,0,30,52,3,100,False,True,3.5682100827395595e-05,1213.2943217754364,19415.0,4116.9186695522985,,
19,0,30,52,3,100,True,True,0.12491740446098311,3642.324692964554,15135.0,4447.6151214787915,,
20,0,30,52,7,50,False,True,2.0733902643765914e-05,988.3155720233917,24414.0,2072.2470743046524,,
21,0,30,52,7,50,True,True,0.018485148938687135,3642.0016696453094,32927.0,2087.972286373442,,
22,0,30,52,7,100,False,True,0.0,1562.0524146556854,40561.0,3584.0342002053626,,
23,0,30,52,7,100,True,True,0.025120451235089346,3641.7662465572357,42076.0,3628.8924383876583,,
24,1,25,44,1,50,False,True,7.926922466609617e-06,131.11880135536194,3176.0,2840.939178676519,,
25,1,25,44,1,50,True,True,1.189058272291444e-05,989.1618466377258,24010.0,2839.6479390619015,,
26,1,25,44,1,100,False,True,2.039043973662452e-05,121.25193428993225,1802.0,4475.903777873864,,
27,1,25,44,1,100,True,True,8.095127030292534e-06,643.0990490913391,16454.0,4473.683832488717,,
28,1,25,44,2,50,False,True,4.786562801998175e-05,731.9548180103302,6319.0,2298.8524198168648,,
29,1,25,44,2,50,True,True,0.0,1519.5942840576172,40355.0,2295.7969394165784,,
30,1,25,44,2,100,False,True,1.3759274609012916e-05,819.5371766090393,7937.0,3711.441359806503,,
31,1,25,44,2,100,True,True,3.143462247502171e-10,1484.8012473583221,30597.0,3708.7012266742195,,
32,1,25,44,6,50,False,True,5.955044693946068e-05,280.62281799316406,3928.0,1647.8557493356934,,
33,1,25,44,6,50,True,True,1.905164371761159e-05,1679.8694365024567,42765.0,1647.7151686917032,,
34,1,25,44,6,100,False,True,2.536903739042624e-10,312.85282015800476,3736.0,2897.8400158567265,,
35,1,25,44,6,100,True,True,1.8302317929292812e-05,1223.804801940918,45715.0,2897.7151739657493,,
36,1,30,58,1,50,False,True,0.0,970.4161367416382,51073.0,3363.6538525836577,,
37,1,30,58,1,50,True,True,0.2967063138608676,3655.846100330353,11098.0,3484.781362795804,,
38,1,30,58,1,100,False,True,0.0,922.0891170501709,50857.0,5327.473334036863,,
39,1,30,58,1,100,True,True,0.24164298596735487,3656.769323348999,18710.0,5423.495772321663,,
40,1,30,58,3,50,False,True,5.2523123400050105e-05,3439.14315533638,66739.0,2453.586914538998,,
41,1,30,58,3,50,True,True,0.1198172116261274,3656.1497535705566,20454.0,2566.9809961873434,,
42,1,30,58,3,100,False,True,5.2615301746598496e-05,1306.8150899410248,25340.0,3986.4355832205038,,
43,1,30,58,3,100,True,True,0.18438189418537398,3655.5247960090637,9757.0,4479.74422777202,,
44,1,30,58,7,50,False,True,4.6537943958095126e-05,2293.0425658226013,51569.0,2019.773781804559,,
45,1,30,58,7,50,True,True,0.042260502054864785,3656.018559217453,41784.0,2026.0866683676331,,
46,1,30,58,7,100,False,True,2.073878349922385e-08,3312.5732605457306,90274.0,3519.680242387395,,
47,1,30,58,7,100,True,True,0.023974685158552708,3657.1735966205597,44270.0,3526.3336500508185,,
48,2,25,47,1,50,False,True,4.271299667173861e-05,211.71773147583008,4364.0,2960.2647913810015,,
49,2,25,47,1,50,True,True,3.7693715433115384e-10,1274.4133942127228,25369.0,2960.067605739719,,
50,2,25,47,1,100,False,True,8.682639420453436e-05,149.09299397468567,474.0,4554.335573107943,,
51,2,25,47,1,100,True,True,5.038230649785253e-05,1019.1709361076355,20783.0,4550.827774288182,,
52,2,25,47,2,50,False,True,6.647674434160543e-05,300.96970868110657,15745.0,2499.678005175255,,
53,2,25,47,2,50,True,True,0.0,889.4862160682678,23947.0,2499.51222115859,,
54,2,25,47,2,100,False,True,1.385253661217972e-06,308.81239128112793,11653.0,3924.5173226258353,,
55,2,25,47,2,100,True,True,1.1482425973494254e-05,834.7874300479889,18354.0,3924.557310826257,,
56,2,25,47,6,50,False,True,7.162429766778042e-05,628.3636190891266,14401.0,1697.749865648563,,
57,2,25,47,6,50,True,True,0.0,2839.6984655857086,62934.0,1697.6236793963244,,
58,2,25,47,6,100,False,True,5.813189602866691e-06,917.9285507202148,40425.0,2953.3715562848965,,
59,2,25,47,6,100,True,True,0.03320521971803905,3629.5703558921814,76116.0,3015.271528226064,,
60,2,30,49,1,50,False,True,2.287918583195276e-10,382.00367736816406,42807.0,3561.9771143404487,,
61,2,30,49,1,50,True,True,0.2903836992123736,3635.355720758438,23354.0,3599.9527651685275,,
62,2,30,49,1,100,False,True,8.09650491919298e-11,210.94946551322937,8809.0,5731.391401227444,,
63,2,30,49,1,100,True,True,0.2955103267187045,3636.2966084480286,23568.0,6086.0409197631425,,
64,2,30,49,3,50,False,True,3.286849702828195e-08,1168.4387876987457,39751.0,2505.6013357912907,,
65,2,30,49,3,50,True,True,0.1760493058787931,3635.846743583679,29922.0,2772.5666309849703,,
66,2,30,49,3,100,False,True,2.7895244426973083e-07,1310.071543455124,20704.0,4140.455124394148,,
67,2,30,49,3,100,True,True,0.13811597423716232,3635.898416996002,29259.0,4405.070277833298,,
68,2,30,49,7,50,False,True,0.0,928.9570195674896,25474.0,2016.7216210663441,,
69,2,30,49,7,50,True,True,3.6593037971801566e-05,3521.001604318619,49038.0,2016.4031392915094,,
70,2,30,49,7,100,False,True,1.5100317205784337e-06,693.179844379425,10466.0,3516.7268936938967,,
71,2,30,49,7,100,True,True,6.246981127852575e-05,3158.0724811553955,59986.0,3516.4221060988984,,
72,3,25,47,1,50,False,True,0.0,315.19385266304016,26534.0,2914.258526814909,,
73,3,25,47,1,50,True,True,0.0,1815.9207055568695,24736.0,2903.3983499008077,,
74,3,25,47,1,100,False,True,0.0,219.88286304473877,14015.0,4399.8866049172875,,
75,3,25,47,1,100,True,True,6.337898297140328e-05,1437.4435458183289,36995.0,4397.1894550344805,,
76,3,25,47,2,50,False,True,5.019093786562899e-05,530.6555707454681,17957.0,2242.536383301368,,
77,3,25,47,2,50,True,True,7.897341344228764e-05,1785.5757327079773,26244.0,2242.4947794540894,,
78,3,25,47,2,100,False,True,3.892789128930584e-05,460.2132284641266,8222.0,3553.660196786469,,
79,3,25,47,2,100,True,True,0.0,974.2223825454712,15967.0,3551.8389116829503,,
80,3,25,47,6,50,False,True,6.107713086643845e-08,756.4870090484619,8857.0,1693.7177405082714,,
81,3,25,47,6,50,True,True,0.0,1577.6244950294495,18189.0,1693.7176566551316,,
82,3,25,47,6,100,False,True,5.4485321488939654e-05,433.53988099098206,7542.0,2943.878052754132,,
83,3,25,47,6,100,True,True,1.1601113012021515e-05,3436.5810565948486,70389.0,2943.7176534029277,,
84,3,30,54,1,50,False,True,6.270353627150783e-05,247.21184873580933,7565.0,3618.85032284726,,
85,3,30,54,1,50,True,True,1.548401542549805e-05,2121.641858816147,26654.0,3618.297770313788,,
86,3,30,54,1,100,False,True,7.977105796095764e-05,238.24961304664612,815.0,5599.916146325753,,
87,3,30,54,1,100,True,True,0.2690335804573632,3642.671970844269,27203.0,5722.214216016118,,
88,3,30,54,3,50,False,True,1.2987698337692558e-05,1463.0481126308441,33406.0,2515.2196468147276,,
89,3,30,54,3,50,True,True,,,,,,
90,3,30,54,3,100,False,True,5.606592445336451e-06,1197.9577162265778,28236.0,4111.983141734119,,
91,3,30,54,3,100,True,True,0.2566123209130978,3641.6784007549286,16472.0,4965.780102361889,,
92,3,30,54,7,50,False,True,2.7542226159091585e-05,745.9402043819427,9612.0,1973.2204940790793,,
93,3,30,54,7,50,True,True,7.218760581464287e-05,2995.71741271019,40951.0,1973.150300931215,,
94,3,30,54,7,100,False,True,7.225253972253643e-07,470.69737577438354,5056.0,3473.2208539260228,,
95,3,30,54,7,100,True,True,0.004605960613489767,3641.777032852173,41324.0,3476.8545276983937,,
96,4,25,50,1,50,False,True,9.212274550430285e-06,256.78945684432983,19339.0,3027.1856580533095,,
97,4,25,50,1,50,True,True,0.0,2984.720525741577,44111.0,3021.2172706588726,,
98,4,25,50,1,100,False,True,6.293510719635686e-05,194.52022552490234,6678.0,4530.375766406461,,
99,4,25,50,1,100,True,True,3.3827763344504813e-06,3489.388166666031,27512.0,4530.340216005281,,
100,4,25,50,2,50,False,True,7.039349358478685e-07,303.9588212966919,4745.0,2325.9871983249614,,
101,4,25,50,2,50,True,True,0.05951900462146253,3632.695782184601,27229.0,2386.247330882745,,
102,4,25,50,2,100,False,True,1.4302356650403263e-05,346.2355740070343,13810.0,3674.445752741496,,
103,4,25,50,2,100,True,True,0.0,1368.5900683403015,21548.0,3674.4013743708797,,
104,4,25,50,6,50,False,True,1.1744343989502682e-06,740.387407541275,28615.0,1725.5385630011954,,
105,4,25,50,6,50,True,True,2.058401009770785e-07,3552.9201562404633,59484.0,1724.9982149899424,,
106,4,25,50,6,100,False,True,6.17994929657296e-05,630.8265159130096,21604.0,2975.72138798011,,
107,4,25,50,6,100,True,True,0.01953109897519144,3632.941198825836,63718.0,2984.2635143764664,,
108,4,30,53,1,50,False,True,0.0,387.3669021129608,24420.0,3225.082367539265,,
109,4,30,53,1,50,True,True,0.3304112968087566,3643.4325551986694,27226.0,3622.544119365429,,
110,4,30,53,1,100,False,True,1.3040593680244208e-09,329.3203454017639,17209.0,5025.082364647082,,
111,4,30,53,1,100,True,True,0.0,1481.803674697876,20853.0,4996.689696556162,,
112,4,30,53,3,50,False,True,6.878683528237262e-09,1166.775553703308,41270.0,2350.1233699578706,,
113,4,30,53,3,50,True,True,0.0,3345.628812789917,33919.0,2346.194086426628,,
114,4,30,53,3,100,False,True,1.4012560590373105e-05,1027.3784301280975,20393.0,3900.1668258410355,,
115,4,30,53,3,100,True,True,0.12513857714908094,3643.490540266037,17718.0,4246.857501734457,,
116,4,30,53,7,50,False,True,0.029966957556370768,3709.6844503879547,98038.0,1975.532942801603,,
117,4,30,53,7,50,True,True,0.04584063687801522,3644.067143678665,29928.0,2030.109508595559,,
118,4,30,53,7,100,False,True,4.2697109896604723e-08,2146.130125284195,54776.0,3475.328844145171,,
119,4,30,53,7,100,True,True,0.0166234556287815,3644.4066457748413,30921.0,3500.4138421846183,,
