,Instance,n_N,n_B,k,wL,Lazy,A4,Init,Gap,Runtime,NodeCount,ObjVal,Runtime_h,Runtime_h2,ObjVal_h,ObjVal_h2
1,0,10,21,1,50,False,True,True,6.773069169395129e-05,4.791690111160278,441.0,891.6452470369491,0.029869794845581,0.913701057434082,968.9214253609304,939.987614901215
5,0,10,2,1,50,False,False,True,9.01608925830723e-05,2.039215087890625,1.0,589.6800939143546,0.0089600086212158,0.2768909931182861,1102.6310159860357,1004.6651594411882
6,0,10,5,1,50,False,False,True,9.682933615582928e-05,646.0139219760895,469551.0,617.900579016354,0.011470079421997,2.458838939666748,950.4500166051014,920.5675332761692
7,0,10,10,1,50,False,False,True,0.0001247233902736,3600.0387251377106,872561.0,706.360716080376,0.0193629264831542,171.6040370464325,950.2270357969312,698.8092822275777
9,0,10,21,1,50,False,True,True,6.773069169395129e-05,5.297929048538208,441.0,891.6452470369491,0.0355520248413085,0.90386700630188,968.9214253609304,939.987614901215
13,0,10,2,1,50,False,False,True,9.01608925830723e-05,2.0249509811401367,1.0,589.6800939143546,0.0074989795684814,0.3444938659667969,926.9166590975308,897.2738860719695
14,0,10,5,1,50,False,False,True,4.4792287009207125e-05,13.123608112335203,2215.0,597.5181788681928,0.0122342109680175,11.482576847076416,979.6525143799352,762.3819392200014
15,0,10,10,1,50,False,False,True,0.0002836836520849,3600.0530309677124,657870.0,668.9848465214009,0.0213191509246826,148.33878421783447,926.6585665765948,730.552895296795
17,0,10,21,2,50,False,True,True,7.399536030694294e-07,9.92572021484375,2161.0,781.530992458011,0.4663732051849365,1.2047679424285889,836.2541928750143,805.7566388346719
21,0,10,2,2,50,False,False,True,4.23346387569526e-07,11.336930990219116,3293.0,443.771599134181,0.0038888454437255,0.8384931087493896,1038.1843607170492,721.5033650116674
22,0,10,5,2,50,False,False,True,5.685128459545224e-05,59.03077697753906,5013.0,457.1289574399266,0.0360400676727294,43.65336298942566,830.4724109726714,471.6876340490701
23,0,10,10,2,50,False,False,True,9.854634931707532e-05,227.7546088695526,39488.0,481.82686876865887,0.072732925415039,79.89700984954834,841.3428692832967,532.964694537853
25,0,20,35,1,50,False,True,True,2.883804004601547e-05,59.11484408378601,4943.0,2390.447799686801,0.1511671543121338,2.428140163421631,2479.432475890213,2443.405465009176
29,0,20,3,1,50,False,False,True,0.0009001438667291,3600.024757146836,1231522.0,1437.046343440044,0.041853904724121,144.69464993476868,2102.544115640648,1317.1713549891824
30,0,20,8,1,50,False,False,True,5.767046981776694e-05,580.845694065094,55939.0,1464.273409693306,0.0495970249176025,42.90096092224121,2034.050358442642,1532.4401041009585
31,0,20,17,1,50,False,False,True,0.0032114314833653,3600.19832611084,129760.0,1560.1046643538516,0.1607608795166015,,1929.8855489827613,
