,Instance,n_N,n_B,k,wL,Lazy,A4,Gap,Runtime,NodeCount,ObjVal,Runtime_h,ObjVal_h
0,4,10,20,1,50,False,True,1.8272998021476572e-05,9.300582885742188,1.0,932.2017691797607,,
1,4,10,20,1,50,True,True,0.0,14.353312253952026,2735.0,932.2017005180282,,
2,4,10,2,1,50,False,False,0.0,0.6405947208404541,1.0,250.0,,
3,4,10,5,1,50,False,False,2.1551919247357973e-05,27.37017011642456,19666.0,410.33074188764357,,
4,4,10,10,1,50,False,False,7.828512482557053e-05,132.91031670570374,13271.0,458.1371797979126,,
5,4,10,2,1,50,True,False,0.0,0.3569376468658447,1.0,250.0,,
6,4,10,5,1,50,True,False,0.0,0.6626884937286377,1.0,250.0,,
7,4,10,10,1,50,True,False,0.0,1.0265724658966064,1.0,250.0,,
8,4,10,20,1,50,False,True,1.8272998021476572e-05,9.215526342391968,1.0,932.2017691797607,,
9,4,10,20,1,50,True,True,0.0,14.370419979095459,2735.0,932.2017005180282,,
10,4,10,2,1,50,False,False,5.681356466494451e-10,4.22275447845459,1618.0,250.0000001420339,,
11,4,10,5,1,50,False,False,3.955958616897358e-10,13.194071054458618,2415.0,250.00000009889897,,
12,4,10,10,1,50,False,False,2.3458623040747434e-06,112.50806427001953,13812.0,551.258039480037,,
13,4,10,2,1,50,True,False,0.0,0.3704357147216797,1.0,250.0,,
14,4,10,5,1,50,True,False,0.0,0.6941494941711426,1.0,250.0,,
15,4,10,10,1,50,True,False,0.0,1.1745710372924805,1.0,250.0,,
16,4,10,20,2,50,False,True,2.5318913141665077e-07,13.350566387176514,803.0,796.0989957101688,,
17,4,10,20,2,50,True,True,0.0,30.837170124053955,2680.0,796.0937950699715,,
18,4,10,2,2,50,False,False,0.0,0.6600215435028076,1.0,250.0,,
19,4,10,5,2,50,False,False,1.5637770023306583e-09,10.93926191329956,2138.0,250.00000039094425,,
20,4,10,10,2,50,False,False,1.227355555210457e-07,3.602010488510132,1.0,250.00003068389265,,
21,4,10,2,2,50,True,False,0.0,0.3879513740539551,1.0,250.0,,
22,4,10,5,2,50,True,False,0.0,0.7287070751190186,1.0,250.0,,
23,4,10,10,2,50,True,False,0.0,1.2591273784637451,1.0,250.0,,
24,4,20,40,1,50,False,True,0.0,100.39069867134094,1737.0,2108.621532593248,,
25,4,20,40,1,50,True,True,0.0,222.13884568214417,4113.0,2108.514926836505,,
26,4,20,4,1,50,False,False,0.0,49.57042956352234,8320.0,500.0,,
27,4,20,10,1,50,False,False,5.490775329523892e-05,1010.2859473228455,80616.0,722.0025805886921,,
28,4,20,20,1,50,False,False,0.01601612703644712,3621.752531528473,101975.0,868.3515949949251,,
29,4,20,4,1,50,True,False,0.0,2.524592638015747,1.0,500.0,,
30,4,20,10,1,50,True,False,0.0,5.377734899520874,1.0,500.0000000000001,,
31,4,20,20,1,50,True,False,0.0,9.684993267059326,1.0,500.0,,
32,4,20,40,2,50,False,True,4.2352886998238283e-05,288.58743596076965,7815.0,1717.238356645704,,
33,4,20,40,2,50,True,True,0.0,457.9197270870209,12512.0,1717.12834671676,,
34,4,20,4,2,50,False,False,0.0,14.546293020248413,1.0,500.0,,
35,4,20,10,2,50,False,False,0.0,235.00770735740662,13452.0,500.0,,
36,4,20,20,2,50,False,False,0.1454547774713987,3619.247414827347,88443.0,794.0493229053305,,
37,4,20,4,2,50,True,False,0.0,5.290911436080933,73.0,500.0,,
38,4,20,10,2,50,True,False,0.0,4.399715185165405,1.0,500.0,,
39,4,20,20,2,50,True,False,0.0,7.45774245262146,1.0,500.0,,
40,4,20,40,5,50,False,True,2.3041182795532475e-07,182.16291189193726,13030.0,1373.328763873245,,
41,4,20,40,5,50,True,True,0.0,371.4948010444641,23212.0,1373.3231306448788,,
42,4,20,4,5,50,False,False,0.0,4.444247245788574,1.0,500.0,,
43,4,20,10,5,50,False,False,0.0,101.30894780158997,11006.0,500.0,,
44,4,20,20,5,50,False,False,0.0,374.8340003490448,17284.0,500.0,,
45,4,20,4,5,50,True,False,0.0,4.844555616378784,166.0,500.0,,
46,4,20,10,5,50,True,False,0.0,4.270069122314453,1.0,500.0,,
47,4,20,20,5,50,True,False,0.0,9.55224347114563,1.0,500.0,,
48,4,30,53,1,50,False,True,0.0,353.0804600715637,28431.0,3225.0823619818093,,
49,4,30,53,1,50,True,True,0.0,1231.2329754829407,29548.0,3196.6897027842942,,
50,4,30,5,1,50,False,False,1.9612666981609742e-06,121.03760194778442,7009.0,830.2461390373152,,
51,4,30,13,1,50,False,False,,,,,,
52,4,30,26,1,50,False,False,,,,,,
53,4,30,5,1,50,True,False,0.0,7.8294594287872314,1.0,750.0,,
54,4,30,13,1,50,True,False,0.0,17.944886922836304,1.0,750.0,,
55,4,30,26,1,50,True,False,0.0,28.604215621948242,1.0,750.0,,
56,4,30,53,3,50,False,True,9.848037271449777e-05,1066.8707821369171,21675.0,2350.354763526196,,
