,Instance,n_N,n_B,k,wL,Lazy,A4,Init,Gap,Runtime,NodeCount,ObjVal,Runtime_h,Runtime_h2,ObjVal_h,ObjVal_h2
0,3,10,1,1,0,False,False,False,4.927896336246254e-05,1.998525857925415,476.0,298.05119384418185,,,,
1,3,10,1,1,0,False,False,True,3.043300461773897e-05,2.7614541053771973,2204.0,298.0450130354147,0.004235982894897461,0.0065460205078125,1102.2815481528753,1102.281548152875
2,3,10,3,1,0,False,False,False,4.356026763364176e-05,14.527384996414185,9026.0,298.0388367720143,,,,
3,3,10,3,1,0,False,False,True,8.914007928361924e-05,16.864354848861694,6220.0,298.03886321028205,0.1289501190185547,0.03310084342956543,400.10491669201383,400.1049166920138
4,3,10,9,1,0,False,False,False,5.7108065407630065e-06,24.620037078857422,7320.0,306.6735687443559,,,,
5,3,10,9,1,0,False,False,True,2.8461604093658384e-06,46.29200196266174,8695.0,306.6725553801318,0.31186699867248535,0.11734199523925781,394.29697398646124,394.2969739864611
6,3,10,19,1,0,False,True,False,7.344466085288604e-05,69.17122220993042,37300.0,331.7233109046846,,,,
7,3,10,19,1,0,False,True,True,0.0,61.72679805755615,25340.0,331.7235639808317,0.78963303565979,0.37581491470336914,382.01895561395025,382.0189556139502
8,3,10,1,1,50,False,False,False,2.9984938020334522e-05,2.551353931427002,921.0,548.0385460051577,,,,
9,3,10,1,1,50,False,False,True,3.7727015422416545e-05,2.337418794631958,1338.0,548.04534290706,0.004417896270751953,0.006644010543823242,1602.281548152875,1602.281548152875
10,3,10,3,1,50,False,False,False,2.0695454716293323e-05,10.731802940368652,1842.0,548.0478525312576,,,,
11,3,10,3,1,50,False,False,True,4.406725355815414e-05,12.34545612335205,1529.0,548.0620018681559,0.12900590896606445,0.03339695930480957,900.1049166920138,900.1049166920138
12,3,10,9,1,50,False,False,False,9.72307108096229e-07,7.10697603225708,2066.0,639.9337022052086,,,,
13,3,10,9,1,50,False,False,True,1.7721785695923292e-05,8.416946172714233,719.0,639.9442447549221,0.30674099922180176,0.11783409118652344,921.3022294798636,921.3022294798634
14,3,10,19,1,50,False,True,False,7.428157635396421e-07,12.375953197479248,384.0,840.2926590730715,,,,
15,3,10,19,1,50,False,True,True,2.4980422168585783e-05,12.952136993408203,442.0,840.2926531900041,0.806826114654541,0.37660694122314453,907.0189556139502,907.0189556139503
16,3,10,1,1,0,False,False,False,4.927896336246254e-05,1.9258930683135986,476.0,298.05119384418185,,,,
17,3,10,1,1,0,False,False,True,3.043300461773897e-05,2.750999927520752,2204.0,298.0450130354147,0.004371166229248047,0.006826877593994141,1102.2815481528753,1102.281548152875
18,3,10,3,1,0,False,False,False,4.356026763364176e-05,14.32691502571106,9026.0,298.0388367720143,,,,
19,3,10,3,1,0,False,False,True,8.914007928361924e-05,16.82157802581787,6220.0,298.03886321028205,0.1286320686340332,0.032911062240600586,400.10491669201383,400.1049166920138
20,3,10,9,1,0,False,False,False,8.445865999669922e-07,38.41898488998413,17973.0,306.67225349869466,,,,
21,3,10,9,1,0,False,False,True,2.8461604093658384e-06,46.18588399887085,8695.0,306.6725553801318,0.315784215927124,0.11614990234375,394.29697398646124,394.2969739864611
22,3,10,19,1,0,False,True,False,7.344466085288604e-05,69.13769292831421,37300.0,331.7233109046846,,,,
