,index,n_N,perc_B,k,single,wL,lazy,A4,init,Gap,Runtime,NodeCount,ObjVal,Runtime_h,Runtime_h2,ObjVal_h,ObjVal_h2
0,0,10,10.0%,1,True,0,False,False,False,0.00532018841657887,4.441963911056519,829.0,340.505529574893,,,,
1,1,10,10.0%,1,True,0,False,False,True,0.0011064768343903271,15.911438941955566,8672.0,340.4915275964761,0.0184540748596191,0.0196919441223144,368.4729719253439,368.4729719253438
2,2,10,20.0%,1,True,0,False,False,False,9.89799307892418e-05,26.08100891113281,1793.0,340.4885544707204,,,,
3,3,10,20.0%,1,True,0,False,False,True,0.0,71.15662598609924,34718.0,372.8949226952863,0.0672409534454345,0.1217210292816162,400.3969913751707,475.4426181328789
4,4,10,50.0%,1,True,0,False,False,False,0.008178499168805715,221.0016429424286,88218.0,348.80564011964844,,,,
5,5,10,50.0%,1,True,0,False,False,True,0.0001636996107250294,5.9469921588897705,1990.0,615.488527992736,0.0181829929351806,0.0196340084075927,643.4729719253439,643.4729719253438
6,6,10,100%,1,True,0,False,True,False,0.0,87.58554410934448,40985.0,372.8949678355012,,,,
7,7,10,100%,1,True,0,False,True,True,0.0,45.73444700241089,9479.0,903.2760949363934,0.0713112354278564,0.1274080276489257,933.11614504845,1048.8073121788168
8,8,10,10.0%,1,True,50,False,False,False,0.0005233292459368414,6.5334978103637695,2068.0,597.4954369482978,,,,
9,9,10,10.0%,1,True,50,False,False,True,0.0011064768343903271,16.214711904525757,8672.0,340.4915275964761,0.0195820331573486,0.019860029220581,368.4729719253439,368.4729719253438
10,10,10,20.0%,1,True,50,False,False,False,0.0005024010833562145,12.41234302520752,2187.0,615.4888053141943,,,,
11,11,10,20.0%,1,True,50,False,False,True,0.0,73.92818593978882,34718.0,372.8949226952863,0.0601840019226074,0.125680923461914,400.3969913751707,475.4426181328789
12,12,10,50.0%,1,True,50,False,False,False,0.0039148789095257335,124.8865931034088,37247.0,731.9539733475228,,,,
13,13,10,50.0%,1,True,50,False,False,True,0.0004418417622477018,7.810386896133423,2387.0,615.4901378284899,0.0174579620361328,0.0198249816894531,643.4729719253439,643.4729719253438
14,14,10,100%,1,True,50,False,True,False,4.7187964027141774e-06,41.0448808670044,10253.0,903.2761267098684,,,,
15,15,10,100%,1,True,50,False,True,True,0.0,45.448405027389526,9479.0,903.2760949363934,0.0622241497039794,0.1192739009857177,933.11614504845,1048.8073121788168
16,16,10,10.0%,10%,True,0,False,False,False,0.00532018841657887,4.34564995765686,829.0,340.505529574893,,,,
17,17,10,10.0%,10%,True,0,False,False,True,0.004168041181788663,18.289056062698364,2895.0,198.7601683787807,0.1372420787811279,0.0209929943084716,225.84947408461647,286.1666439938216
18,18,10,20.0%,10%,True,0,False,False,False,9.89799307892418e-05,25.90656089782715,1793.0,340.4885544707204,,,,
19,19,10,20.0%,10%,True,0,False,False,True,0.0,12.097075939178469,2532.0,258.3966384301408,0.3868751525878906,0.1215169429779052,288.45333580268453,328.2130876406381
20,20,10,50.0%,10%,True,0,False,False,False,0.008178499168805715,213.82801508903503,88218.0,348.80564011964844,,,,
21,21,10,50.0%,10%,True,0,False,False,True,0.00726648106301001,22.8262619972229,15593.0,473.32528926638383,0.3551778793334961,1.3664979934692385,505.0603966957871,513.1032778580509
22,22,10,100%,10%,True,0,False,True,False,0.0,87.67595481872559,40985.0,372.8949678355012,,,,
23,23,10,100%,10%,True,0,False,True,True,3.08345462418488e-06,6.879780054092407,791.0,758.6270802485342,0.2668521404266357,0.1238930225372314,788.4533358026846,903.2130876406382
24,24,10,10.0%,10%,True,50,False,False,False,0.0005233292459368414,6.548273086547852,2068.0,597.4954369482978,,,,
25,25,10,10.0%,10%,True,50,False,False,True,0.008805594397884194,2.601223945617676,16.0,340.51603899781884,0.1613020896911621,0.0489058494567871,368.4729719253439,368.4729719253439
26,26,10,20.0%,10%,True,50,False,False,False,0.0005024010833562145,12.86046314239502,2187.0,615.4888053141943,,,,
27,27,10,20.0%,10%,True,50,False,False,True,2.446381945552968e-05,32.23645997047424,5719.0,372.8949451313587,0.978916883468628,0.5033469200134277,400.3969913751707,400.3969913751707
28,28,10,50.0%,10%,True,50,False,False,False,0.0039148789095257335,125.7564070224762,37247.0,731.9539733475228,,,,
29,29,10,50.0%,10%,True,50,False,False,True,0.00977473330891838,5.593626022338867,449.0,615.495091247261,0.1556048393249511,0.0483560562133789,643.4729719253439,643.4729719253439
30,30,10,100%,10%,True,50,False,True,False,4.7187964027141774e-06,39.98782992362976,10253.0,903.2761267098684,,,,
31,31,10,100%,10%,True,50,False,True,True,0.00786959194415094,26.846482038497925,5787.0,903.2761254331988,0.9889700412750244,0.499324083328247,933.11614504845,933.1161450484498
32,32,10,10.0%,25%,True,0,False,False,False,0.005917004670108576,5.791256904602051,534.0,194.6112793461465,,,,
33,33,10,10.0%,25%,True,0,False,False,True,0.008805594397884194,2.6108999252319336,16.0,340.51603899781884,0.1648499965667724,0.0478098392486572,368.4729719253439,368.4729719253439
34,34,10,20.0%,25%,True,0,False,False,False,0.0002490425506683886,32.76285910606384,9254.0,198.7523481767111,,,,
35,35,10,20.0%,25%,True,0,False,False,True,2.446381945552968e-05,32.4182870388031,5719.0,372.8949451313587,0.960923194885254,0.4849069118499756,400.3969913751707,400.3969913751707
36,36,10,50.0%,25%,True,0,False,False,False,0.008714641544467657,33.884352922439575,4893.0,210.0280240466933,,,,
37,37,10,50.0%,25%,True,0,False,False,True,0.00977473330891838,5.625401973724365,449.0,615.495091247261,0.1447329521179199,0.0477120876312255,643.4729719253439,643.4729719253439
38,38,10,100%,25%,True,0,False,True,False,0.0010480768303050047,31.027703046798703,2452.0,258.3966353100492,,,,
39,39,10,100%,25%,True,0,False,True,True,0.00786959194415094,26.75488305091858,5787.0,903.2761254331988,1.0020360946655271,0.4786639213562011,933.11614504845,933.1161450484498
40,40,10,10.0%,25%,True,50,False,False,False,0.004367314201320598,8.458840131759644,3067.0,451.11186673397486,,,,
41,41,10,10.0%,25%,True,50,False,False,True,0.0023741440712282185,10.940778970718384,2115.0,198.756541049532,0.1534731388092041,0.0473930835723876,225.8494740846165,225.84947408461647
42,42,10,20.0%,25%,True,50,False,False,False,0.007338100625763406,39.1926748752594,31298.0,473.32527914104514,,,,
43,43,10,20.0%,25%,True,50,False,False,True,0.0,16.3042049407959,424.0,258.3966323736746,0.9450070858001708,0.4908311367034912,288.45333580268453,288.45333580268453
44,44,10,50.0%,25%,True,50,False,False,False,0.0003557705370153356,34.007856130599976,6442.0,510.0409940641368,,,,
45,45,10,50.0%,25%,True,50,False,False,True,0.007254126501473632,37.74567604064941,18312.0,473.32507978153706,0.1459689140319824,0.5271830558776855,505.06039669578695,586.1759984617034
46,46,10,100%,25%,True,50,False,True,False,4.377388971511839e-06,63.62503790855408,1092.0,758.6269957467928,,,,
47,47,10,100%,25%,True,50,False,True,True,0.001138228295712074,10.940737009048462,197.0,758.6271020073607,0.950329065322876,0.4967682361602783,788.4533358026845,788.4533358026845
48,48,10,10.0%,1,False,0,False,False,False,0.008140416610760197,2.070894956588745,35.0,340.4902288158778,,,,
49,49,10,10.0%,1,False,0,False,False,True,4.059754824347682e-05,1447.1736528873444,256158.0,879.792158600577,0.1090428829193115,0.0902040004730224,906.6668515350638,1090.140531767944
50,50,10,20.0%,1,False,0,False,False,False,0.00011184542134561291,10.233580112457275,2066.0,340.488556034085,,,,
51,51,10,20.0%,1,False,0,False,False,True,0.58100173524854,3600.1743488311768,822478.0,926.3360596948904,0.3690359592437744,0.4506039619445801,954.5463539785547,1131.162004453482
52,52,10,50.0%,1,False,0,False,False,False,0.0001926746322841784,51.27171897888184,18932.0,348.78420281236754,,,,
53,53,10,50.0%,1,False,0,False,False,True,7.522014907913066e-05,162.47182703018188,37521.0,1549.7065448239152,0.1004319190979003,0.0887289047241211,1571.3947329627192,1608.6730211025863
54,54,10,100%,1,False,0,False,True,False,0.0,43.69889998435974,13630.0,372.8949634380489,,,,
55,55,10,100%,1,False,0,False,True,True,0.007901078918022284,1441.6701531410215,103916.0,1987.6341536865573,0.2841041088104248,2.615373134613037,2014.7965802388649,3444.334209873892
56,56,10,10.0%,1,False,50,False,False,False,0.0005467515504166929,0.9221220016479492,1.0,597.4953867171807,,,,
57,57,10,10.0%,1,False,50,False,False,True,0.0019864335771641833,2139.590530872345,364001.0,558.5968234624138,0.7402219772338867,0.0900139808654785,581.1753070424148,756.0408499616484
58,58,10,20.0%,1,False,50,False,False,False,0.00461689153805061,9.437963008880615,2030.0,615.5150003460265,,,,
59,59,10,20.0%,1,False,50,False,False,True,0.007747277564308616,906.761885881424,201156.0,622.4666160235881,0.8127589225769043,0.4625530242919922,645.8862937847225,847.9975526892661
60,60,10,50.0%,1,False,50,False,False,False,0.007813268257309842,41.62343096733093,16165.0,732.0011640053708,,,,
61,61,10,50.0%,1,False,50,False,False,True,0.0018790299444421225,837.8116338253021,203872.0,1188.785021374946,0.905569076538086,0.0905969142913818,1211.0431933751768,1399.0593244464987
62,62,10,100%,1,False,50,False,True,False,0.007686208940994227,28.540733098983765,5427.0,903.2761067151356,,,,
63,63,10,100%,1,False,50,False,True,True,0.0059484745658361605,424.3148329257965,27319.0,1629.58146746355,1.6839041709899902,0.4652318954467773,1653.6587084538985,2154.154354271831
64,64,10,10.0%,10%,False,0,False,False,False,0.008140416610760197,2.07334303855896,35.0,340.4902288158778,,,,
65,65,10,10.0%,10%,False,0,False,False,True,0.007269739921445785,249.1281521320343,92158.0,226.9384110340432,0.5470221042633057,0.0839540958404541,249.0014169575504,249.0014169575504
66,66,10,20.0%,10%,False,0,False,False,False,0.00011184542134561291,9.923278093338013,2066.0,340.488556034085,,,,
67,67,10,20.0%,10%,False,0,False,False,True,0.005662809666903404,1400.028295993805,241283.0,405.21964346297216,0.9320299625396729,0.4981200695037842,443.0316367593697,568.805219835918
68,68,10,50.0%,10%,False,0,False,False,False,0.0001926746322841784,50.95660996437073,18932.0,348.78420281236754,,,,
69,69,10,50.0%,10%,False,0,False,False,True,0.004391646856971105,169.75433921813965,69829.0,742.8551867683786,0.4940779209136963,0.0847280025482177,765.8548111946355,765.8548111946355
70,70,10,100%,10%,False,0,False,True,False,0.0,43.53333592414856,13630.0,372.8949634380489,,,,
71,71,10,100%,10%,False,0,False,True,True,0.009718384966527636,1030.1923370361328,336946.0,1405.219807731507,0.6715359687805176,0.4999110698699951,1443.0316367593696,1715.9905768966742
72,72,10,10.0%,10%,False,50,False,False,False,0.0005467515504166929,0.9469280242919922,1.0,597.4953867171807,,,,
73,73,10,10.0%,10%,False,50,False,False,True,0.009981242497661564,171.52670907974243,65493.0,879.8773761194718,0.901339054107666,0.323801040649414,906.6668515350638,906.6668515350636
74,74,10,20.0%,10%,False,50,False,False,False,0.004622086616105304,8.21095895767212,2031.0,615.5150003460265,,,,
75,75,10,20.0%,10%,False,50,False,False,True,0.009451385614420375,1245.8963119983673,1007624.0,926.3356776074204,9.130491018295288,4.474370002746582,954.5463539785547,954.5463539785547
76,76,10,50.0%,10%,False,50,False,False,False,0.005502624558527404,37.8158540725708,12953.0,731.9837814831515,,,,
77,77,10,50.0%,10%,False,50,False,False,True,0.00016579299525005173,62.22211480140686,24316.0,1549.7062744175616,0.8717498779296875,0.3213977813720703,1571.394732962719,1571.394732962719
78,78,10,100%,10%,False,50,False,True,False,0.007686208940994227,28.595558166503903,5427.0,903.2761067151356,,,,
79,79,10,100%,10%,False,50,False,True,True,0.0001233208546425638,98.36928915977478,2458.0,1987.634138600096,9.09795308113098,18.120492219924927,2014.7965802388649,2006.1252659487348
80,80,10,10.0%,25%,False,0,False,False,False,0.0006361911843901517,14.2064368724823,13858.0,194.61048816948147,,,,
81,81,10,10.0%,25%,False,0,False,False,True,0.00030417042119490234,131.84663796424866,20645.0,558.5937635337149,0.8839929103851318,0.319382905960083,581.1753070424149,581.1753070424147
82,82,10,20.0%,25%,False,0,False,False,False,0.007537491526944756,9.33758306503296,1814.0,198.76178867708097,,,,
